id;name;ciiu;created_at;updated_at
1;groupware;Credit Card Account clear-thinking Frozen;2019-11-03T17:18:17;2019-11-02T23:23:35
2;Group hard drive Personal Loan Account;Unbranded SCSI;2019-11-03T05:53:44;2019-11-03T18:02:54
3;Grocery;transmit Ways;2019-11-02T19:29:13;2019-11-03T15:31:25
4;Credit Card Account disintermediate;transmitting Tennessee Practical Steel Shirt;2019-11-03T15:55:16;2019-11-03T12:34:19
5;Ergonomic Fresh Chicken;Zimbabwe parse Customer;2019-11-03T05:05:25;2019-11-03T00:40:41
6;Accounts navigating Ergonomic;purple User-friendly;2019-11-03T12:32:24;2019-11-03T04:35:08
7;Synergized;calculate Fantastic Concrete Computer Baby;2019-11-03T07:10:40;2019-11-03T06:38:47
8;transmit Gabon;connecting Planner Refined;2019-11-03T00:07:49;2019-11-03T09:27:01
9;Granite Grocery;bluetooth payment digital;2019-11-02T21:27:30;2019-11-03T15:51:39
10;Industrial seamless;withdrawal Jamaica;2019-11-03T16:56:59;2019-11-02T21:26:03
