id;name;ciiu;created_at;updated_at
1;THX;frame needs-based Metrics;2020-07-10T13:28:43;2020-07-10T12:34:19
2;projection;Polarised;2020-07-10T03:09:43;2020-07-10T01:01:18
3;UAE Dirham Specialist Home Loan Account;Borders;2020-07-10T11:16:37;2020-07-09T23:39:18
4;Movies;quantifying PCI redundant;2020-07-10T11:48:18;2020-07-10T04:14:28
5;payment;compressing Saint Martin;2020-07-10T07:59:49;2020-07-09T23:07:46
6;European Monetary Unit (E.M.U.-6) Causeway Gloves;Fantastic Fresh Chicken innovative;2020-07-10T12:19:26;2020-07-10T08:42:05
7;RAM paradigm;input Beauty;2020-07-09T19:11:35;2020-07-10T14:40:52
8;Home leading-edge auxiliary;Route;2020-07-09T16:53:15;2020-07-09T16:58:35
9;Frozen Street parsing;Ergonomic Frozen Ball reboot;2020-07-09T21:07:31;2020-07-09T18:10:53
10;SSL;world-class;2020-07-09T21:10:58;2020-07-10T06:16:04
