id;employee;visit_date;comments;company_id
1;Intelligent Baby open-source;2020-07-31;e-markets;1
2;dynamic Turks and Caicos Islands;2020-08-01;e-services;2
3;leading edge CFA Franc BEAC;2020-07-31;Zambian Kwacha users;3
4;bricks-and-clicks;2020-07-31;Chicken synergies Jersey;4
5;Frozen Small;2020-07-31;reciprocal virtual;5
6;Auto Loan Account Bulgarian Lev Keys;2020-08-01;24/7;6
7;Virgin Islands, British channels Rustic;2020-08-01;application Accounts Soft;7
8;Architect Kansas solid state;2020-08-01;Inverse;8
9;back up Practical Metal Tuna;2020-07-31;Bike;9
10;infrastructures transmitter Hat;2020-07-31;Hawaii;10
