id;name;resolution;legislation
1;withdrawal;Somoni Shirt architectures;Central Jamaican Dollar
2;haptic Gorgeous;Direct Auto Loan Account;violet Vermont
3;parsing Guyana Dollar Home Loan Account;Vision-oriented 24/7 Books;withdrawal Avon synthesizing
4;modular Rustic Fresh Sausages engineer;Beauty Azerbaijanian Manat Right-sized;XSS Illinois Architect
5;Pataca;Sleek Borders Engineer;Automotive
6;Tunnel;grow Representative;Baby
7;user-centric;Handmade Dynamic Handmade;Yemen Facilitator
8;Dynamic;logistical;Solutions
9;Central target Shoes;Idaho cross-platform;portals Chief
10;synthesizing hard drive;Future facilitate;circuit array connect
