id;company_id;employee_id;study_id;start_date;end_date;status;comments
1;15467;33424;62333;2019-11-03T00:37:55;2019-11-03T07:45:07;robust;35154
2;72818;41279;49549;2019-11-03T02:12:56;2019-11-03T02:36:44;vortals Centralized;81910
3;7776;79941;233;2019-11-03T02:27:40;2019-11-02T19:54:33;Toys;10309
4;36097;31459;9158;2019-11-02T23:45:20;2019-11-02T21:07:06;Soft Quality Mount;18513
5;8670;54190;95817;2019-11-02T22:10:59;2019-11-03T00:55:57;invoice calculate feed;63723
6;84919;98057;24966;2019-11-02T21:27:11;2019-11-03T07:23:15;magenta Associate;94405
7;66991;3942;4416;2019-11-03T02:12:00;2019-11-03T05:00:56;Officer New Hampshire Unions;31285
8;3394;12052;69742;2019-11-03T01:35:21;2019-11-03T11:59:50;Direct;97105
9;42176;94426;79534;2019-11-03T07:45:09;2019-11-03T01:15:08;Refined Granite Gloves South Georgia and the South Sandwich Islands deposit;65016
10;59626;36469;23000;2019-11-03T05:40:39;2019-11-03T16:14:24;Unbranded Tugrik;33987
