id;name;ciiu;created_at;updated_at
1;Soft Fresh payment;Naira Versatile seize;2019-12-28T04:26:20;2019-12-28T09:02:49
2;EXE;web services;2019-12-27T20:39:13;2019-12-28T15:36:44
3;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;2019-12-28T14:05:37;2019-12-28T03:20:59
4;Savings Account;heuristic Orchestrator Naira;2019-12-28T06:41:00;2019-12-27T18:16:35
5;Unbranded Plastic Chips Brand Regional;Generic B2B;2019-12-28T11:49:54;2019-12-28T11:23:21
6;Junctions one-to-one;analyzing holistic;2019-12-28T09:39:55;2019-12-27T16:14:07
7;Kwanza Falkland Islands (Malvinas);schemas;2019-12-28T01:26:15;2019-12-27T23:28:14
8;Keyboard;Licensed Usability models;2019-12-28T01:57:23;2019-12-28T01:10:56
9;markets Accountability EXE;Chair;2019-12-28T06:02:02;2019-12-28T06:52:08
10;online Strategist Shirt;navigate redefine;2019-12-27T20:00:16;2019-12-27T19:41:36
