id;name;resolution;legislation
1;indexing;Savings Account extensible connect;robust
2;interface Buckinghamshire;Investment Account Forge Licensed;auxiliary
3;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar
4;Computer Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered
5;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages
6;Towels Mississippi Product;Metal;complexity Direct Administrator
7;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut
8;Unbranded Tugrik;models streamline;projection Maldives
9;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Track
10;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;Manor
