id;name;resolution;legislation
1;interface Awesome Plastic Bacon;Senegal withdrawal;Home Loan Account ADP Personal Loan Account
2;web-readiness;JBOD Books;sky blue matrix Data
3;Supervisor;Licensed Steel Shirt Sleek Granite Tuna;AGP Coordinator
4;Practical killer Russian Federation;Adaptive Practical B2C;SQL
5;Persevering Gorgeous Steel Salad Associate;Fantastic whiteboard;lavender
6;neural Cloned Massachusetts;SCSI Communications Underpass;Officer parse
7;Intuitive;quantifying Phased connecting;Automated
8;architect;lavender;copying primary invoice
9;EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dollar
10;Forward;Pre-emptive Reduced;Kids Customer
